,Artist,Song,Year
507,Walter Van Brunt,It's Hard to Kiss Your Sweetheart (When the Last Kiss Means Good-Bye),1910
508,American Quartet,Play That Barber-Shop Chord,1910
509,Eddie Morton,You Ain't Talking to Me,1910
510,Henry Burr,All I Ask Is Your Love,1910
511,Bert Williams,Constantly,1910
512,Peerless Quartet,Silver Bell,1910
513,Lucy Isabelle Marsh,My Hero,1910
514,Columbia Light Opera Company,Tony From America,1910
515,Banda da Casa Edison,Ao Luar,1910
516,Arthur Collins & Byron G Harlan,The Cubanola Glide,1910
517,Arthur Collins,"If He Comes In, I'm Goin' Out",1910
518,Arthur Collins & Byron G Harlan,Sugar Moon,1910
519,Billy Murray,Casey Jones,1910
520,Arthur Collins & Byron G Harlan,On a Monkey Honeymoon,1910
521,Ada Jones & Billy Murray,What Makes the World Go Round,1910
522,Nora Bayes & Jack Norworth,"Come Along, My Mandy",1910
523,Arthur Collins,Oh That Beautiful Rag,1910
524,Arthur Clough,Put on Your Old Gray Bonnet,1910
525,Sophie Tucker,That Lovin' Rag,1910
526,Harry Champion,Ginger You're Barmy,1910
527,Mario Pinheiro,O Palida Madona,1910
528,Sophie Tucker,Some of These Days,1911
529,Arthur Collins & Byron G Harlan,Alexander's ragtime band,1911
530,Peerless Quartet,Let Me Call You Sweetheart,1911
531,Ada Jones & Billy Murray,"Come, Josephine, in My Flying Machine",1911
532,Victor Herbert & his Orchestra,Dream Melody Intermezzo: Naughty Marietta,1911
533,Victor Light Opera Co,Gems from Naughty Marietta,1911
534,Nora Bayes & Jack Norworth,Turn Your Light Off Mister Moon Man,1911
535,Charles King & Elizabeth Brice,Let Me Stay & Live in Dixieland,1911
536,Arthur Clough,Down by the Old Mill Stream,1911
537,John McCormack,I'm Falling in Love with Someone,1911
538,Will Oakland,Mother Machree,1911
539,Harry MacDonough,Down by the Old Mill Stream,1911
540,Will Oakland,I Love The Name of Mary,1911
541,John McCormack,Mother Machree,1911
542,American Quartet,Oh You Beautiful Doll,1911
543,Arthur Collins & Byron G Harlan,Put Your Arms Around Me Honey,1911
544,Arthur Collins & Byron G Harlan,Under the Yum Yum Tree,1911
545,Eduardo das Neves,O Meu Boi Morreu,1911
546,Jack Pleasants,"I'm Shy Mary Ellen, I'm Shy",1911
547,Enrico Caruso,Addio (Good-Bye),1911
548,George M Cohan,"Life's a Funny Proposition, After All",1911
549,Reed Miller,It's Always June When You're in Love,1911
550,Arthur Clough,Let Me Call You Sweetheart,1911
551,Billy Murray,Alexander's ragtime band,1911
552,Lucy Isabelle Marsh,Italian Street Song,1911
553,Peerless Quartet,I Want a Girl Just Like the Girl That Married Dear Old Dad,1911
554,Elida Morris & Walter Van Brunt,I've Got Your Number,1911
555,Ada Jones & Billy Murray,All Alone,1911
556,Cecil Fanning,Perfect Day,1911
557,Arthur Collins,Steamboat Bill,1911
558,Walter Van Brunt,I Want a Girl Just Like the Girl That Married Dear Old Dad,1911
559,Bob Roberts,"Woodman, Woodman, Spare That Tree",1911
560,J.F de Almeida,Dor Suprema,1911
561,Billy Merson,The Photo of The Girl I Left Behind,1911
562,Enrico Caruso,For You Alone,1911
563,Prince's Orchestra,Selections from The Pink Lady,1911
564,Billy Murray,Piano Man,1911
565,John McCormack,Kathleen Mavourneen,1911
566,Arthur Collins & Byron G Harlan,The Honeymoon Glide,1911
567,Walter Van Brunt,That Was Before I Met You,1911
568,American Quartet,Some of These Days,1911
569,Peerless Quartet,Jimmy Valentine,1911
570,Walter Van Brunt,"Don't Wake Me Up, I'm Dreaming",1911
571,Lucy Isabelle Marsh,My Beautiful Lady,1911
572,Arthur Collins,I Love It!,1911
573,Prince's Orchestra,Ciribiribin Waltz,1911
574,Henry Burr & Albert Campbell,On Mobile Bay,1911
575,Grupo Chiquinha Gonzaga,Lua Branca,1911
576,George M Cohan,I Want To Hear A Yankee Doodle Tune,1911
577,Al Jolson,That Haunting Melody,1912
578,American Quartet,Moonlight Bay,1912
579,Al Jolson,Ragging the Baby to Sleep,1912
580,Enrico Caruso,Love is Mine,1912
581,Lillian Russell,"Come Down, Ma Ev'ning Star",1912
582,Bob Roberts,Ragtime Cowboy Joe,1912
583,Alan Turner,Till the Sands of the Desert Grow Cold,1912
584,Henry Burr & Albert Campbell,When You Were Sweet Sixteen,1912
585,Elsie Baker,I Love You Truly,1912
586,Heidelberg Quintet,Waiting for the Robert E Lee,1912
587,American Quartet,Everybody Two-Step,1912
588,Ada Jones & Billy Murray,Be My Little Baby Bumble Bee,1912
589,(unknown),I'm Twenty-One Today,1912
590,Grupo Chiquinha Gonzaga,O Forrobodo,1912
591,Enrico Caruso,Canta Pe' Me (Neapolitan Song),1912
592,Chauncy Olcott,I Love The Name of Mary,1912
593,Lucy Isabelle Marsh,The Maids of Cadiz (Les Filles De Cadiz),1912
594,Enrico Caruso,Dreams of Long Ago,1912
595,Arthur Collins,When Uncle Joe Plays a Rag on His Old Banjo,1912
596,Arthur Collins & Byron G Harlan,Everybody's Doing it Now,1912
597,Mark Sheridan,Who Were You With Last Night?,1912
598,Neco,Amor Ingrato,1912
599,Prince's Orchestra,Alexander's ragtime band,1912
600,Enrico Caruso,The Lost Chord,1912
601,Harry MacDonough,When Irish Eyes Are Smiling,1912
602,Dolly Connolly,Moonlight Bay,1912
603,Arthur Collins & Byron G Harlan,Oh! You Circus Day,1912
604,Elsie Baker,Please Don't Take My Lovin' Man Away,1912
605,Harry MacDonough,When I was Twenty-one & You Were Sweet Sixteen,1912
606,Ada Jones & Walter Van Brunt,"I'm Afraid, Pretty Maid, I'm Afraid",1912
607,Frank Coombs & William H Thompson,The Harbor of Love,1912
608,Arthur Collins & Byron G Harlan,Waiting for the Robert E Lee,1912
609,American Quartet,Ragtime Violin,1912
610,Peerless Quartet,Kentucky Days,1912
611,Reed Miller,A Stein Song,1912
612,Columbia Stellar Quartet,Take Me Back to the Garden of Love,1912
613,Billy Murray,Any Place the Old Flag Flies,1912
614,Billy Murray,The Gaby Glide,1912
615,Vesta Victoria,Look What Percy's Picked Up in The Park,1912
616,Joao Barros,Ao Luar,1912
617,Lovey's Trinidad String Band,Mango Vert,1912
618,Ada Jones & Billy Murray,The Wedding Glide,1912
619,John McCormack,The Rosary,1912
620,Trinity Choir,Hark the Herald Angels Sing,1912
621,Dolly Connolly,Waiting for the Robert E Lee,1912
622,Victor Military Band,Alexander's ragtime band,1912
623,Peerless Quartet,Bring Back My Golden Dreams,1912
624,Henry Burr,That's How I Need You,1912
625,Joao Barros,O Meu Ideal,1912
626,Chauncy Olcott,When Irish Eyes Are Smiling,1913
627,Charles Harrison,Peg o' My Heart,1913
628,Al Jolson,The Spaniard Who Blighted My Life,1913
629,Walter Van Brunt & Helen Clark,Sympathy,1913
630,Henry Burr,When I Lost You,1913
631,Walter Van Brunt & Maurice Burkhardt,Ghost of the Violin,1913
632,Al Jolson,You Made Me Love You (I Didn't Want to Do It),1913
633,Henry Burr & Albert Campbell,The Trail of the Lonesome Pine,1913
634,Ada Jones,Row! Row! Row!,1913
635,Chauncy Olcott,Too-Ra-Loo-Ra-Loo-Ra,1913
636,Arthur Collins & Byron G Harlan,When the Midnight Choo-Choo Leaves for Alabam',1913
637,Henry Burr,Last Night Was the End of the World,1913
638,Patricio Teixeira,Caboca di Caxanga,1913
639,Enrico Caruso,Ave Maria,1913
640,Elsie Baker,Daddy Has a Sweetheart & Mother is Her Name,1913
641,Henry Burr & Albert Campbell,Sailing Down the Chesapeake Bay,1913
642,Manuel Romain,When I Lost You,1913
643,Henry Burr,Peg o' My Heart,1913
644,Bert Williams,"Woodman, Woodman, Spare That Tree",1913
645,Harry MacDonough,There's a Girl in the Heart of Maryland,1913
646,Will Oakland,The Curse of an Aching Heart,1913
647,Haydn Quartet,"In the Evening by the Moonlight, Dear Louise",1913
648,Billy Murray,Bagdad,1913
649,Christie MacDonald,Sweethearts,1913
650,American Quartet,That Old Girl of Mine,1913
651,Arthur Collins & Byron G Harlan,Melinda's Wedding Day,1913
652,Peerless Quartet,The Ghost of the Violin,1913
653,Banda da Casa Edison,Lingua de Preto,1913
654,Harry Lauder,It's Nicer to Be in Bed,1913
655,Frank Croxton,The Road to Mandalay,1913
656,Arthur Collins & Byron G Harlan,The International Rag,1913
657,American Quartet,On the Mississippi,1913
658,Christie MacDonald & Reinald Werrenrath,The Angelus,1913
659,John McCormack,Where the River Shannon Flows,1913
660,American Quartet,Parisienne,1913
661,Mario Pinheiro,O Rouxinol,1913
662,Europe's Society Orchestra,Down Home Rag,1913
663,Nellie Melba,Mandoline,1913
664,John McCormack,Foggy Dew,1913
665,Peerless Quartet,You're a Great Big Blue-Eyed Baby,1913
666,Olive Kline,Say Not Love is a Dream,1913
667,Walter Van Brunt,And the Green Grass Grew All Around,1913
668,John McCormack,"Take, Oh Take, Those Lips Away",1913
669,Henry Burr & Andrea Sarto,There's a Girl in the Heart of Maryland,1913
670,Henry Burr,"To Have, To Hold, To Love",1913
671,Enrico Caruso,Because,1913
672,Elsie Baker & James F Harrison,Sunshine & Roses,1913
673,Billy Murray,Snookey Ookums,1913
674,Arthur Collins & Byron G Harlan,Snookey Ookums,1913
675,Heidelberg Quintet,By the Beautiful Sea,1914
676,American Quartet,"It's a Long, Long Way to Tipperary",1914
677,Bert Williams,The Dark Town Poker Club,1914
678,Arthur Collins & Byron G Harlan,I Love the Ladies,1914
679,Ada Jones & Billy Watkins,By the Beautiful Sea,1914
680,Henry Burr,The Song That Stole My Heart Away,1914
681,Arthur Collins & Byron G Harlan,The Aba Daba Honeymoon,1914
682,Europe's Society Orchestra,Castles in Europe One-Step (Castle House Rag)',1914
683,Prince's Orchestra,Ballin' the Jack,1914
684,American Quartet,Rebecca of Sunny-brook Farm,1914
685,Joe Hayman,Cohen on the Telephone,1914
686,Henry Burr & Albert Campbell & Will Oakland,I'm On My Way to Mandalay,1914
687,Grupo Chiquinha Gonzaga,Atraente,1914
688,Harrison Latimer,Are We Downhearted? No!,1914
689,Victor Military Band,Memphis Blues,1914
690,Enrico Caruso,Amor Mio (My Love),1914
691,American Quartet,Do You Take This Woman for Your Lawful Wife?,1914
692,Henry Burr,"When You're a Long, Long Way from Home",1914
693,Nora Bayes,The Good Ship Mary Ann,1914
694,Henry Burr & Helen Clark,In the Valley of the Moon,1914
695,Manuel Romain,I Miss You Most of All,1914
696,Billy Murray,He'd Have to Get Under - Get Out & Get Under (To Fix Up His Automobile),1914
697,Billy Murray,He's a Devil in His Own Home Town,1914
698,Marguerite Dunlap,You've Got Your Mother's Big Blue Eyes,1914
699,Elida Morris,If I Had Someone at Home Like You,1914
700,Peerless Quartet,Don't Blame it All on Broadway,1914
701,Bach,Quand Madelon,1914
702,Mario Pinheiro,Pierrot,1914
703,Basil Hallam,Gilbert The Filbert,1914
704,Peerless Quartet,When the Angelus is Ringing,1914
705,Peerless Quartet,This is the Life,1914
706,Billy Murray,The 20th Century Rag,1914
707,Prince's Orchestra,Love's Melody,1914
708,Manuel Romain,You're More Than the World to Me,1914
709,Arthur Collins & Byron G Harlan,Celebratin' Day in Tennessee,1914
710,Peerless Quartet,If I Had My Way,1914
711,American Quartet,When You Wore a Tulip & I Wore a Big Red Rose,1914
712,Henry Burr,In the Heart of the City That Has No Heart,1914
713,Henry Burr,You Planted a Rose in the Garden of Love,1914
714,Elida Morris,I Want to Go Back to Michigan (Down On the Farm),1914
715,Billy Murray,When You're All Dressed Up & No Place to Go,1914
716,Ada Jones & Peerless Quartet,All Aboard for Dixieland,1914
717,Violet Loraine,When We've Wound Up The Watch On The Rhine,1914
718,Grupo Chiquinha Gonzaga,Plangente,1914
719,The afro-american Folk Singers,Swing along,1914
720,The Van Eps Banjo Orchestra,Sans Souci (Maxixe Brasilienne),1914
721,Billy Murray & Will Oakland,Just For Tonight,1914
722,John McCormack,"A Little Love, A Little Kiss",1914
723,George MacFarlane,"Can't You Hear Me Calling, Caroline?",1914
724,Olive Kline & Reinald Werrenrath,"Hello, Frisco!",1915
725,Harry MacDonough & Olive Kline,They Didn't Believe Me,1915
726,Alma Gluck,Carry Me Back to Old Virginney,1915
727,John McCormack,"It's a Long, Long Way to Tipperary",1915
728,Alice Nielsen,Home Sweet Home,1915
729,James F Harrison & James Reed,"There's a Long, Long Trail",1915
730,Henry Burr & Albert Campbell,Close To My Heart,1915
731,George MacFarlane,"A Little Bit of Heaven (Shure, They Call it Ireland)",1915
732,Morton Harvey,I Didn't Raise My Boy to Be a Soldier,1915
733,American Quartet,"Chinatown, My Chinatown",1915
734,James F Harrison & James Reed,My Little Dream Girl,1915
735,James F Harrison,You Better Keep the Home Fires Burning (Cause Your Mama's Getting Cold),1915
736,Peerless Quartet,I Didn't Raise My Boy to Be a Soldier,1915
737,Peerless Quartet,My Bird of Paradise,1915
738,Jack Norworth,Kitty The Telephone Girl,1915
739,Grupo O Passos no Choro,"Apanhei-te, Cavaquinho",1915
740,Bert Williams,I'm Neutral,1915
741,Enrico Caruso,La Mia Canzone (My Song to Thee),1915
742,Pablo Casals,Serenade: Spanish Dance No 2,1915
743,John McCormack & Lucy Isabelle Marsh,Aida - O Terra Addio,1915
744,Charles Harrison,"A Little Bit of Heaven (Shure, They Call it Ireland)",1915
745,Al Jolson,Back to the Carolina You Love,1915
746,American Quartet,On the 5:15,1915
747,Henry Burr,There's a Little Lane Without a Turning,1915
748,John McCormack,Oh Come All ye Faithful,1915
749,James F Harrison & James Reed,You'll Always be the Same Sweet Girl,1915
750,Harry MacDonough & Olive Kline,Auf Wiedersehen,1915
751,Peerless Quartet,Don't Take My Darling Boy Away,1915
752,Arthur Collins & Byron G Harlan,Alabama Jubilee,1915
753,Peerless Quartet,Tip Top Tipperary Mary,1915
754,Henry Burr & Albert Campbell,My Little Girl,1915
755,Prince's Orchestra,"It's a Long, Long Way to Tipperary",1915
756,Marie Lloyd,A Little of What You Fancy,1915
757,Bahiano,"Ai, Filomena",1915
758,Peerless Quartet,Jane,1915
759,Alma Gluck,Old Folks at Home (Way Down Upon the Swanee River),1915
760,Peerless Quartet,He's a Rag Picker,1915
761,Peerless Quartet,I'm On My Way to Dublin Bay,1915
762,Grace Kerns & John Barnes Wells,"Chinatown, My Chinatown",1915
763,Lyric Quartet,Down Among the Sheltering Palms,1915
764,Lambert Murphy,"Goodbye, Girls, I'm Through",1915
765,Billy Murray,The Little Ford Rambled Right Along,1915
766,Bert Williams,Never Mo',1915
767,Elida Morris & Sam Ash,"Hello, Frisco!",1915
768,James F Harrison & James Reed,The Little House Upon the Hill,1915
769,Vesta Tilley,The Seaside Sultan,1915
770,Vesta Tilley,Following in Father's Footsteps,1915
771,Vesta Tilley,Jolly Good Luck to The Girl Who Loves a Soldier,1915
772,Peerless Quartet,Virginia Lee,1915
773,John McCormack,Somewhere a Voice is Calling,1916
774,Billy Murray,Pretty Baby,1916
775,Al Jolson,I Sent My Wife to the Thousand Isles,1916
776,Billy Murray,I Love a Piano,1916
777,John McCormack,The Sunshine of Your Smile,1916
778,Columbia Mixed Double Quartet,America,1916
779,Peerless Quartet,The Lights of My Home Town,1916
780,Prince's Orchestra,The Star Spangled Banner,1916
781,Orpheus Quartet,Turn Back the Universe & Give Me Yesterday,1916
782,Enrico Caruso,O Sole Mio (My Sunshine),1916
783,Sophie Braslau,Birds in the Night (A Lullaby),1916
784,Al Jolson,You're a Dangerous Girl,1916
785,Enrico Caruso,Santa Lucia (Neapolitan Folk Song),1916
786,Alma Gluck,Old Kentucky Home,1916
787,Marion Harris,I Ain't Got Nobody (1917),1916
788,Al Jolson,Down Where the Swanne River Flows,1916
789,Henry Burr & Albert Campbell,There's a Quaker Down in Quaker Town,1916
790,Arthur Collins & Byron G Harlan,Oh How She Could Yacki Hacki Wicki Wachi Woo (That's Love in Honolulu),1916
791,Harry MacDonough,The Girl on the Magazine,1916
792,Charles Harrison,"Ireland Must be Heaven, for My Mother Came from There",1916
793,Prince's Orchestra,"Hello, Hawaii, How are You?",1916
794,Henry Burr,"Good-Bye, Good Luck, God Bless You",1916
795,John McCormack & Walter Rogers,Il mio Tesoro,1916
796,Marguerite Farrell,If I Knock the 'L' Out of Kelly (It Would Still be Kelly to Me),1916
797,Henry Burr,M-O-T-H-E-R (A Word That Means the World to Me),1916
798,Walter Jeffries,Everybody's Crazy On The Foxtrot,1916
799,Vicente Celestino,Flor do Mal,1916
800,Emilio DeGogorza,Noche Serena (Calm Night),1916
801,Hipolito Lazaro,Aida - Celeste Aida,1916
802,Mischa Elman,Spanish Dance,1916
803,Henry Burr & Albert Campbell,You Were Just Made to Order for Me,1916
804,John McCormack,The Old Refrain,1916
805,James F Harrison,"Wake Up, America!",1916
806,Al Jolson,Yaaka Hula Hickey Dula,1916
807,James F Harrison & James Reed,We'll Build a Little Home in the USA,1916
808,Henry Burr & Albert Campbell,Is There Still Room for Me 'Neath the Old Apple Tree?,1916
809,Geoffrey O'Hara,"All I Want is a Cottage, Some Roses, & You",1916
810,Arthur Fields,He's Got a Bungalow,1916
811,Billy Murray,"Hello, Hawaii, How are You?",1916
812,Elizabeth Wheeler,At the End of a Beautiful Day,1916
813,Os Geraldos,Caraboo,1916
814,Al Jolson,Broken Doll,1916
815,Henry Burr & Albert Campbell,She is the Sunshine of Virginia,1916
816,John McCormack,Tales of Hoffman: Barcolle (Belle Nuit - Oh Night of Love),1916
817,Al Jolson,I'm Saving Up the Means to Get to New Orleans,1916
818,Charles King & Elizabeth Brice,My Own Iona,1916
819,Alma Gluck,Listen to the Mocking Bird,1916
820,Walter Van Brunt,I'll Take You Home Again Kathleen,1916
821,Peerless Quartet,I Think We've Got Another Washington (Wilson is His Name),1916
822,Nora Bayes,Over There,1917
823,American Quartet,Over There,1917
824,Anna Wheaton & James Harrod,Till the Clouds Roll By,1917
825,Original Dixieland Jazz Band,At the Darktown Strutter's Ball,1917
826,Victor Military Band,Poor Butterfly,1917
827,Elsie Baker,"Missouri Waltz (Hush-a-Bye, Ma Baby)",1917
828,Van & Schenck,For Me & My Gal,1917
829,Horace Wright & Rene Dietrich,My Own Iona,1917
830,John McCormack,Send Me Away with a Smile,1917
831,John McCormack,The Star Spangled Banner,1917
832,Original Dixieland Jazz Band,Livery Stable Blues,1917
833,Henry Burr,Joan of Arc,1917
834,American Quartet,"Good-Bye Broadway, Hello France",1917
835,American Quartet,"Oh Johnny, Oh Johnny, Oh!",1917
836,Henry Burr & Albert Campbell,Lookout Mountain,1917
837,Peerless Quartet,Over There,1917
838,Knickerbocker Quartet,Pack Up Your Troubles in Your Old Kit Bag,1917
839,Hampton Quartette,Listen to the Lambs,1917
840,Walter Glynne,I Passed By Your Window,1917
841,Bahiano,Pelo Telefone,1917
842,Joseph Smith & his Orchestra,Havanola Fox-Trot,1917
843,Fritz Kreisler,Poor Butterfly,1917
844,Eddie Cantor,That's the Kind of a Baby for Me,1917
845,Frances Alda,La Marseillaise,1917
846,Joseph Smith & his Orchestra,Gems from Ziegfeld Follies of 1917,1917
847,Lambert Murphy,Smiles,1917
848,Al Jolson,Someone Else May be There While I'm Gone,1917
849,Arthur Collins & Byron G Harlan,They're Wearing 'Em Higher in Hawaii,1917
850,Harry MacDonough & Lucy Isabelle Marsh,Babes in the Wood,1917
851,Anna Wheaton,M-I-S-S-I-S-S-I-P-P-I,1917
852,James F Harrison & James Reed,In the Sweet Long Ago,1917
853,Marion Harris,"They Go Wild, Simply Wild, Over Me",1917
854,Victor Military Band,Katinka,1917
855,Prince's Orchestra,Till the Clouds Roll By,1917
856,Horace Wright,O'Brien is Tryin' to Learn to Talk Hawaiian,1917
857,Charles Harrison,All the World Will be Jealous of Me,1917
858,Josie Collins,Love Will Find a Way,1917
859,Choro do Pixinguinha,Sofres Porque Queres,1917
860,American Quartet,Sailin' Away On the Henry Clay,1917
861,Peerless Quartet,"America, Here's My Boy",1917
862,Prince's Orchestra,The Man Behind the Hammer & the Plow,1917
863,John McCormack,"There's a Long, Long Trail A-Winding",1917
864,Byron G Harlan,I'm a Twelve O'Clock Fellow in a Nine O'Clock Town,1917
865,Henry Burr & Albert Campbell,My Hawaiian Sunshine,1917
866,Prince's Orchestra,Poor Butterfly,1917
867,Columbia Stellar Quartet,"Tramp, Tramp, Tramp (The Boys Are Marching)",1917
